NGC          RA            DE      MAG       X x Y       
2626      08 35 31.0  -40 40 20     U       5.00 5.0   
2736      09 00 17.0  -45 56 53     U      20.00 2.0   
2792      09 12 26.5  -42 25 39   11.6           0.35  
2818      09 16 10.0  -36 37 34   11.2            1.4  
2867      09 21 25.4  -58 18 40    9.7            0.4  
2899      09 27 03.0  -56 06 20   11.8      1.95 1.0   
2905      09 32 11.8  +21 31 07   15.0            0.1  
3132      10 07 01.8  -40 26 10    9.2           1.47  
3180      10 18 10.7  +41 26 57   15.0            0.2  
3181      10 18 11.5  +41 24 48   14.8            0.3  
3195      10 09 21.1  -80 51 29   11.6      0.70 0.5   
3199      10 17 24.0  -57 55 18     U     20.00 15.0   
3211      10 17 50.4  -62 40 12   10.7           0.32  
3242      10 24 46.1  -18 38 31    7.7          1.07   
3324      10 37 19.3  -58 38 03     U     16.00 14.0   
3372      10 45 06.0  -59 52 00    3.0  120.00 120.0   
3503      11 01 17.2  -59 50 50     U       3.00 3.0   
3576      11 11 32.7  -61 21 44     U       3.00 3.0   
3579      11 11 59.6  -61 14 35     U     20.00 15.0   
3587      11 14 47.7  +55 01 10    9.9           2.83  
3699      11 27 57.2  -59 57 27   11.3           0.75  
3918      11 50 17.8  -57 10 55    8.1           0.38  
4071      12 04 15.3  -67 18 33   13.0           1.27  
4361      12 24 30.8  -18 47 03   10.9            2.1  
4399      12 25 42.9  +33 31 00   14.0              1  
4400      12 25 55.9  +33 30 57   14.5            0.3  
4401      12 25 57.9  +33 31 38   14.0            0.6  
5189      13 33 32.9  -65 58 25   10.3           2.33  
5307      13 51 03.3  -51 12 19   11.2            0.3  
5315      13 53 57.1  -66 30 48    9.8           0.23  
5367      13 57 43.8  -39 58 42     U       2.00 2.0   
5408A     14 03 18.2  -41 23 13     U            0.15  
5447      14 02 29.0  +54 16 21   13.5              1  
5449      14 02 28.2  +54 19 53   14.0              1  
5450      14 02 29.0  +54 16 21   13.0              1  
5451      14 02 36.5  +54 21 49   14.0            0.3  
5453      14 02 56.7  +54 18 31   13.8            0.5  
5455      14 03 01.0  +54 14 27   13.0            0.4  
5458      14 03 12.4  +54 17 56   14.0            0.6  
5461      14 03 41.5  +54 19 05   14.0            0.6  
5462      14 03 53.0  +54 22 02   13.5              1  
5471      14 04 28.9  +54 23 51   14.7      0.60 0.5   
5844      15 10 40.7  -64 40 22   13.2           1.22  
5873      15 12 50.7  -38 07 31   11.0           0.22  
5882      15 16 50.0  -45 38 56    9.4           0.33  
5906      15 15 52.1  +56 19 50   14.5            0.1  
5979      15 47 41.1  -61 13 02   11.5            0.3  
6026      16 01 21.0  -34 32 37   12.9           0.67  
6058      16 04 26.6  +40 41 01   12.9           0.67  
6072      16 12 58.2  -36 13 46   11.7           1.63  
6153      16 31 30.6  -40 15 11   10.9            0.4  
6164      16 33 41.0  -48 04 46     U       1.00 0.3   
6165      16 34 02.0  -48 09 04     U       2.50 0.5   
6188      16 40 05.0  -48 39 42     U     20.00 12.0   
6210      16 44 29.5  +23 48 02    8.8           0.35  
6302      17 13 44.1  -37 06 12    9.6           1.48  
6309      17 14 04.3  -12 54 37   11.5           0.32  
6326      17 20 46.4  -51 45 14   12.2           0.32  
6334      17 20 48.0  -36 06 12     U     35.00 20.0   
6337      17 22 15.7  -38 28 59   12.3           0.85  
6357      17 24 43.5  -34 12 05     U     25.00 25.0   
6369      17 29 20.4  -23 45 33   11.4           0.63  
6439      17 48 19.8  -16 28 44   12.6           0.23  
6445      17 49 15.1  -20 00 32   11.2           0.73  
6514      18 02 42.0  -22 58 18    8.5    20.00 20.0   
6523      18 03 42.0  -24 22 48    5.8    45.00 30.0   
6526      18 04 06.0  -24 26 30     U       6.00 3.0   
6533      18 03 42.0  -24 22 48    5.8    45.00 30.0   
6537      18 05 13.0  -19 50 32   11.6           0.17  
6543      17 58 33.4  +66 38 01    8.1           0.33  
6559      18 09 57.6  -24 06 35     U       8.00 5.0   
6563      18 12 02.6  -33 52 04   11.0            0.8  
6565      18 11 52.5  -28 10 41   11.6           0.23  
6567      18 13 45.1  -19 04 32   11.0            0.2  
6572      18 12 06.4  +06 51 15    8.1           0.25  
6578      18 16 16.5  -20 27 00   12.9           0.18  
6589      18 16 51.7  -19 46 41     U       5.00 3.0   
6590      18 17 04.8  -19 51 58    7.0            11   
6595      18 17 04.8  -19 51 58    7.0            11   
6618      18 20 47.0  -16 10 18    6.0    20.00 15.0   
6620      18 22 54.2  -26 49 16   12.7           0.13  
6629      18 25 42.4  -23 12 08   11.3           0.27  
6644      18 32 34.7  -25 07 42   10.7            0.2  
6720      18 53 35.1  +33 01 47    8.8      3.00 2.4   
6726      19 01 39.2  -36 53 29     U       9.00 7.0   
6727      19 01 42.2  -36 52 35     U              80  
6729      19 01 55.3  -36 57 28     U     25.00 20.0   
6741      19 02 37.0  -00 26 56   11.5           0.13  
6742      18 59 19.8  +48 27 59   13.4           0.55  
6748      19 05 55.5  -05 59 30   11.9           0.43  
6751      19 05 55.5  -05 59 30   11.9           0.43  
6765      19 11 06.5  +30 32 47   12.9           0.67  
6766      20 10 23.7  +46 27 42   10.9           0.25  
6772      19 14 36.4  -02 42 22   12.7           1.43  
6778      19 18 24.9  -01 35 45   12.3           0.62  
6779      19 16 35.5  +30 11 07    8.4            8.8  
6781      19 18 28.3  +06 32 25   11.4            1.9  
6785      19 18 24.9  -01 35 45   12.3           0.62  
6790      19 22 57.0  +01 30 49   10.5           0.17  
6803      19 31 16.3  +10 03 26   11.4           0.17  
6804      19 31 35.4  +09 13 33   12.0            1.1  
6807      19 34 33.5  +05 41 04   12.0           0.13  
6813      19 40 24.0  +27 18 34     U       3.00 3.0   
6818      19 43 57.8  -14 09 09    9.3           0.77  
6820      19 42 28.0  +23 05 15   15.0      0.50 0.5   
6826      19 44 48.2  +50 31 32    8.8            0.6  
6833      19 49 46.6  +48 57 42   12.1           0.18  
6842      19 55 02.3  +29 17 23   13.1           0.95  
6852      20 00 39.2  +01 43 43   12.6           0.47  
6853      19 59 36.3  +22 43 18    7.4           6.7   
6857      20 01 48.0  +33 31 30   11.4           0.63  
6879      20 10 26.6  +16 55 25   12.5           0.15  
6881      20 10 52.5  +37 24 44   13.9           0.27  
6884      20 10 23.7  +46 27 42   10.9           0.25  
6886      20 12 42.8  +19 59 24   11.4           0.17  
6888      20 12 06.5  +38 21 18   10.0    18.00 13.0   
