NGC           RA          DE       MAG        XxY
1782      04 57 51.2  -69 23 32   10.5       1.2
1783      04 59 08.8  -65 59 07   10.9         3
1785      04 58 35.3  -68 50 37     U          3
1786      04 59 07.9  -67 44 43   10.9       1.6
1787      05 00 02.0  -65 47 42   10.9        23
1789      04 57 51.2  -71 54 03   13.1       1.5
1790      05 11 07.2  +52 03 30     U         15
1791      04 59 06.6  -70 10 08   13.1       1.3
1793      04 59 38.3  -69 33 28   12.4       1.3
1795      04 59 47.0  -69 48 05   12.4       1.6
1798      05 11 39.3  +47 41 44   10.0         5
1801      05 00 34.6  -69 36 50   12.2       2.2
1802      05 10 14.0  +24 07 30     U         20
1804      05 01 03.3  -69 04 58   11.9         1
1805      05 02 21.4  -66 06 44   10.6       2.2
1806      05 02 11.4  -67 59 02   11.1       2.2
1807      05 10 46.0  +16 30 48    7.0        12
1810      05 03 23.3  -66 22 55   11.9       1.2
1815      05 02 27.3  -70 37 16   12.4       1.2
1816      05 03 50.8  -67 15 39    9.0         1
1817      05 12 27.0  +16 41 00    7.7        20
1818      05 04 14.8  -66 26 04    9.7       3.4
1822      05 05 09.2  -66 12 38   13.2       0.8
1823      05 03 25.0  -70 20 08   12.1       0.9
1825      05 04 19.0  -68 55 36   12.0       0.5
1826      05 05 34.0  -66 13 52   13.3       0.9
1828      05 04 20.9  -69 23 18   12.5       0.7
1830      05 04 38.3  -69 20 25   12.6       0.7
1831      05 06 16.2  -64 55 07   11.2       3.9
1835      05 05 05.7  -69 24 15   10.6       1.2
1836      05 05 34.5  -68 37 41   12.2       0.8
1837      05 04 55.9  -70 42 51   10.6       1.3
1838      05 06 47.0  -68 25 24   12.9       0.7
1840      05 05 19.2  -71 45 47     U        0.6
1841      04 45 23.1  -83 59 49   14.1       2.4
1842      05 07 18.2  -67 16 24   14.0       0.8
1844      05 07 30.7  -67 19 25   12.1       1.3
1845      05 05 45.0  -70 34 54   10.2        20
1846      05 07 34.7  -67 27 31   11.3       2.8
1847      05 07 08.2  -68 58 17   11.1         1
1849      05 09 34.9  -66 18 57   12.8       1.3
1850      05 08 44.8  -68 45 42    9.0       3.4
1851      05 14 06.3  -40 02 48    7.1        12
