NGC           RA          DE       MAG        XxY
6005      15 55 47.4  -57 26 37   10.7         5
6025      16 03 17.7  -60 25 53    5.1        15
6031      16 07 34.4  -54 01 00    8.5         3
6067      16 13 10.9  -54 13 08    5.6        15
6087      16 18 51.8  -57 53 59    5.4        15
6093      16 17 02.5  -22 58 28    7.3        10
6101      16 25 48.6  -72 12 04    9.2         5
6115      16 24 26.8  -51 57 12    9.8       3.4
6121      16 23 35.5  -26 31 29    5.4        36
6124      16 25 17.2  -40 40 01    5.8        40
6134      16 27 43.6  -49 09 51    7.2         6
6139      16 27 40.4  -38 50 54    9.1       8.2
6144      16 27 14.1  -26 01 27    9.0       7.4
6151      16 38 24.1  -73 15 07     U        0.5
6152      16 32 45.0  -52 38 36    8.1        25
6167      16 34 34.9  -49 46 19    6.7         7
6169      16 34 05.0  -44 02 43    6.6        12
6171      16 32 31.9  -13 03 11    7.8        13
6178      16 35 50.8  -45 38 48    7.2         5
6192      16 40 20.8  -43 21 55    8.5         9
6193      16 41 20.3  -48 45 48    5.2        14
6200      16 44 08.6  -47 28 11    7.4        15
6204      16 46 07.9  -47 00 44    8.2         6
6205      16 41 41.5  +36 27 39    5.8        20
6208      16 49 25.8  -53 42 18    7.2        18
6216      16 49 23.5  -44 43 53   10.1         4
6218      16 47 14.5  -01 56 50    6.1        16
6222      17 00 45.3  -44 39 18    8.0        15
6229      16 46 58.9  +47 31 42    9.4       4.5
6231      16 54 09.8  -41 49 30    2.6        14
6235      16 53 25.4  -22 10 36    8.9         5
6242      16 55 30.6  -39 28 01    6.4         9
6249      16 57 41.7  -44 48 17    8.2         6
6250      16 57 56.0  -45 56 12    5.9        16
6253      16 59 06.1  -52 42 57   10.2         4
6254      16 57 08.9  -04 05 56    6.6        20
6256      16 59 32.6  -37 07 15   11.3       4.1
6259      17 00 45.3  -44 39 18    8.0        15
6266      17 01 12.6  -30 06 42    6.4        15
6268      17 02 04.1  -39 43 16    9.5         6
6273      17 02 37.7  -26 16 03    6.8        17
6281      17 04 47.2  -37 53 16    5.4         8
6284      17 04 28.8  -24 45 51    8.9       6.2
6287      17 05 09.4  -22 42 27    9.3       4.8
6293      17 10 10.4  -26 34 52    8.3       8.2
6304      17 14 32.5  -29 27 42    8.3         8
6316      17 16 37.4  -28 08 22    8.1       5.4
6318      17 16 13.4  -39 25 26   11.8         5
6322      17 18 25.7  -42 56 02    6.0         5
6325      17 17 59.2  -23 45 55   10.2       4.1
6333      17 19 11.8  -18 30 57    7.8        12
6341      17 17 07.3  +43 08 13    6.5        14
6342      17 21 10.2  -19 35 12    9.5       4.4
6352      17 25 29.2  -48 25 20    7.8         9
6355      17 23 58.6  -26 21 11    8.6       4.2
6356      17 23 35.0  -17 48 45    8.2        10
6362      17 31 54.8  -67 02 51    8.1        15
6366      17 27 44.3  -05 04 34    9.5        13
6374      17 34 42.2  -32 34 54    5.5        20
6380      17 34 28.0  -39 04 07   11.5       3.6
6383      17 34 42.2  -32 34 54    5.5        20
6388      17 36 17.0  -44 44 04    6.8      10.4
6396      17 37 36.2  -35 01 33    8.5         3
6397      17 40 41.3  -53 40 23    5.3        31
6400      17 40 12.0  -36 57 42    8.8        12
6401      17 38 36.9  -23 54 30    7.4       4.8
6402      17 37 36.1  -03 14 43    7.6        11
6404      17 39 37.3  -33 14 48   10.6         6
6405      17 40 20.0  -32 15 30    4.2        33
6415      17 44 18.0  -35 04 00     U         23
6416      17 44 19.9  -32 21 40    5.7        15
6421      17 45 44.0  -33 41 14   14.0        45
6425      17 47 00.0  -31 31 48    7.2        10
6426      17 44 54.7  +03 10 15   10.9       4.2
6437      17 48 24.0  -35 21 00     U         40
6440      17 48 52.6  -20 21 32    9.3       4.4
6441      17 50 12.9  -37 03 02    7.2       9.6
6444      17 49 35.1  -34 49 11     U         12
6451      17 50 40.5  -30 12 42    8.2         8
6453      17 50 51.8  -34 35 53   10.2       7.6
6455      17 51 08.0  -35 20 14     U          1
6469      17 52 56.5  -22 18 43    8.2         8
6475      17 53 50.0  -34 47 36    3.3        75
6476      17 54 12.0  -29 07 12     U         20
6480      17 54 26.0  -30 27 06   12.0        17
6494      17 56 56.0  -19 00 42    5.5        25
6496      17 59 02.0  -44 15 52    8.6       5.6
6507      17 59 50.0  -17 27 00    9.6         7
6517      18 01 50.6  -08 57 30   10.1         4
6520      18 03 25.0  -27 53 28    7.6         5
6522      18 03 34.1  -30 02 00    9.9       9.4
6525      18 02 06.0  +11 01 31     U          4
6528      18 04 49.6  -30 03 19    9.6         5
6530      18 04 30.0  -24 21 30    4.6        15
6531      18 04 13.3  -22 30 00    5.9        16
6535      18 03 50.7  -00 17 47    9.3       3.4
6539      18 04 49.8  -07 35 07    8.9       7.9
6540      18 06 08.6  -27 45 53    9.3       1.5
6541      18 08 02.2  -43 42 40    6.3        15
6544      18 07 20.6  -24 59 49    7.5       9.2
6546      18 07 22.0  -23 17 48    8.0        15
6553      18 09 15.6  -25 54 26    8.3       9.2
6554      18 09 23.0  -18 22 42     U         20
6558      18 10 18.4  -31 45 47    8.6       4.2
6561      18 10 33.0  -16 44 48     U         10
6568      18 12 44.0  -21 35 00    8.6        12
6569      18 13 38.9  -31 49 33    8.4       6.4
6573      18 13 41.5  -22 07 08     U          6
6583      18 15 48.8  -22 08 15   10.0         5
6584      18 18 37.7  -52 12 52    7.9       6.6
6596      18 17 33.0  -16 39 00     U         10
6603      18 18 24.0  -18 24 24   11.1         4
6604      18 18 06.0  -12 13 00    6.5         6
6605      18 16 24.0  -15 00 00    6.0        29
6611      18 18 45.0  -13 47 54    6.0         8
6613      18 19 58.0  -17 06 06    6.9         7
6624      18 23 40.5  -30 21 38    7.6       8.8
6625      18 23 12.8  -12 00 47    9.0        39
6626      18 24 32.9  -24 52 10    6.9      13.8
6631      18 27 09.5  -12 01 35   11.7         7
6633      18 27 15.1  +06 30 30    4.6        20
6637      18 31 23.2  -32 20 51    8.3       7.1
6638      18 30 56.2  -25 29 45    9.2       7.3
6639      18 30 57.8  -13 10 14     U          5
6642      18 31 54.3  -23 28 33    8.9       5.8
6645      18 32 37.8  -16 53 02    8.5        15
6649      18 33 28.3  -10 24 08    8.9         6
6652      18 35 45.7  -32 59 23    8.5         6
6656      18 36 24.2  -23 54 10    5.2        32
6659      18 34 00.0  +23 35 42     U        7 5
6664      18 36 30.6  -08 11 15    7.8        12
6681      18 43 12.7  -32 17 29    7.8         8
6682      18 39 37.0  -04 48 48     U         47
6683      18 42 12.7  -06 12 45    9.4         3
6694      18 45 15.0  -09 23 06    8.0         8
6698      18 48 10.0  -25 53 45     U         15
6704      18 50 45.8  -05 12 18    9.2         6
6705      18 51 05.0  -06 16 12    5.8        11
6709      18 51 30.0  +10 20 00    6.7        15
6712      18 53 04.3  -08 42 20    8.1       9.8
6715      18 55 03.3  -30 28 40    7.7        12
6716      18 54 34.0  -19 54 30    7.5        10
6717      18 55 06.2  -22 42 01    8.4       5.4
6723      18 59 33.2  -36 37 52    6.8        13
6735      19 00 45.3  -00 27 21     U          8
6738      19 01 20.0  +11 36 54    8.3        15
6743      19 01 26.7  +29 17 14     U          8
6749      19 05 15.3  +01 54 05   12.4         4
6752      19 10 51.8  -59 58 53    5.3        29
6755      19 07 49.0  +04 16 00    7.5        15
6756      19 08 42.5  +04 42 21   10.6         4
6760      19 11 12.1  +01 01 52    9.0       9.6
6774      19 16 18.0  -16 19 30     U         20
6775      19 16 42.0  -00 55 58     U         13
6791      19 20 52.7  +37 46 27    9.5        10
6793      19 23 12.6  +22 09 27     U          7
6800      19 27 00.0  +25 05 30     U          5
6802      19 30 36.0  +20 15 42    8.8         5
6809      19 39 59.4  -30 57 42    6.3        19
6811      19 37 09.6  +46 22 32    6.8        15
6819      19 41 18.0  +40 11 00    7.3         5
6823      19 43 10.0  +23 18 00    7.1         7
6827      19 48 53.2  +21 12 58     U          2
6830      19 51 00.0  +23 06 00    7.9         6
6832      19 48 15.5  +59 25 22     U         12
6834      19 52 12.5  +29 24 29    7.8         6
6837      19 53 08.0  +11 41 54   12.0         3
6838      19 53 46.1  +18 46 44    8.4       7.2
6839      19 54 33.0  +17 56 20     U          4
6840      19 55 17.0  +12 07 18     U         10
6843      19 56 06.0  +12 09 52     U          4
6846      19 56 28.1  +32 20 55   14.2       0.8
6856      19 59 17.1  +56 07 53     U          3
6858      20 03 00.0  +11 15 36     U          5
6864      20 06 04.8  -21 55 15    8.6       6.8
6866      20 03 55.1  +44 09 33    7.6         7
6871      20 06 27.0  +35 47 24    5.2        30
6873      20 07 13.0  +21 06 08     U         14
6874      20 07 48.0  +38 14 00     U          7
6882      20 11 40.6  +26 32 54     U          5
6883      20 11 18.0  +35 51 00    8.0        35
6885      20 11 40.6  +26 32 54     U          5
6895      20 16 32.0  +50 14 24     U         15
6904      20 21 48.3  +25 44 22     U          3
6910      20 23 12.0  +40 46 43    7.4        10
6913      20 24 06.0  +38 29 36    6.6        10
6934      20 34 11.6  +07 24 17    8.9       7.1
6938      20 34 42.0  +22 13 02     U          8
6939      20 31 30.0  +60 39 42    7.8        10
6940      20 34 32.3  +28 16 49    6.3        25
6950      20 41 05.0  +16 37 14     U         10
6953      20 38 41.0  +65 48 12     U        1.5
6981      20 53 27.9  -12 32 11    9.2       6.6
6989      20 54 06.0  +45 14 26     U         10
6991-1    20 55 50.0  +47 25 10     U         10
6991-2    20 54 43.5  +47 16 54     U          8
6994      20 58 56.0  -12 38 00    8.9       1.4
6996      20 56 30.0  +45 28 24   10.0         5
6997      20 56 30.0  +44 39 00   10.0         8
7005      21 01 56.0  -12 52 39     U        1.8
7006      21 01 29.5  +16 11 17   10.6       3.6
7011      21 01 50.0  +47 21 17     U        3.8
7024      21 06 04.8  +41 29 47     U         10
7031      21 06 52.0  +50 50 36    9.1        15
7039      21 11 12.0  +45 39 00    7.6        15
7044      21 13 09.4  +42 29 46   12.0         7
7055      21 19 25.8  +57 35 25     U          4
7058      21 21 48.3  +50 48 28     U         10
7062      21 23 27.4  +46 22 43    8.3         5
7063      21 24 22.0  +36 29 12    7.0         9
7067      21 24 12.3  +48 00 41    9.7         3
7071      21 26 40.0  +47 55 22     U          4
7078      21 29 58.3  +12 10 03    6.3        18
7082      21 29 17.0  +47 07 36    7.2        24
7084      21 32 33.0  +17 30 30     U         18
7086      21 30 27.5  +51 36 02    8.4        12
7089      21 33 27.2  -00 49 22    6.6        16
7092      21 31 52.0  +48 25 30    4.6        31
7093      21 34 35.8  +45 59 31     U          6
7099      21 40 22.0  -23 10 43    6.9        12
7127      21 43 52.9  +54 35 46     U          6
7128      21 43 57.7  +53 42 55    9.7         4
7142      21 45 09.4  +65 46 28    9.3        12
7160      21 53 40.2  +62 36 12    6.1         5
7175      21 58 50.0  +54 31 30     U         20
7193      22 03 03.8  +10 48 08     U        5 5
7209      22 05 08.0  +46 29 00    7.7        15
7226      22 10 27.0  +55 23 55    9.6         2
7234      22 12 24.0  +57 16 24    7.7         6
7235      22 12 24.0  +57 16 24    7.7         6
7243      22 15 08.5  +49 53 51    6.4        30
7245      22 15 12.0  +54 20 36    9.2         5
7261      22 20 10.0  +58 06 36    8.4         6
7281      22 24 55.7  +57 50 25     U         12
7295      22 28 02.0  +52 17 18    9.7         4
7296      22 28 02.0  +52 17 18    9.7         4
7352      22 39 44.2  +57 23 06     U          5
7380      22 47 21.0  +58 07 54    7.2        20
7394      22 50 12.0  +52 10 08     U        8 5
7419      22 54 20.0  +60 48 56   13.0         6
7423      22 55 06.5  +57 05 41     U          5
7429      22 56 00.0  +59 58 24     U         15
7438      22 57 20.0  +54 18 38     U         20
7453      23 01 25.6  -06 21 14     U        0.3
7492      23 08 26.7  -15 36 39   11.2       4.2
7510      23 11 04.2  +60 34 08    7.9         7
7654      23 24 48.0  +61 36 00    6.9        16
7686      23 30 07.3  +49 08 03    5.6        15
7708      23 35 00.0  +72 50 00     U         30
7762      23 50 00.0  +68 02 18   10.0        15
7772      23 51 45.0  +16 14 54     U          5
7788      23 56 46.0  +61 24 00    9.4         4
7789      23 57 28.6  +56 42 52    6.7        25
7790      23 58 24.2  +61 12 30    8.5         5
7795      23 58 34.5  +60 01 25     U         16
7826      00 05 15.0  -20 42 54     U         12
