NGC         RA           DE           MAG          X Y
1345        03 29 31.5  -17 46 45     13.8      1.50 1.1
1346        03 30 13.2  -05 32 35     13.2      1.00 0.7
1347-1      03 29 41.8  -22 16 45     13.2      1.50 1.3
1347-2      03 29 41.2  -22 17 27     15.2      0.30 0.2
1349        03 31 27.4  +04 22 53     13.1      0.80 0.8
1350        03 31 07.9  -33 37 38     10.3      5.90 3.1
1351        03 30 34.9  -34 51 12     11.6      2.80 1.7
1351A       03 28 48.5  -35 10 40     13.4      2.60 0.5
1352        03 31 32.9  -19 16 40     13.3      1.00 0.7
1353        03 32 03.1  -20 49 08     11.5      3.40 1.4
1354        03 32 29.2  -15 13 15     12.3      2.30 0.8
1355        03 33 23.5  -04 59 54     13.3      1.50 0.4
1356        03 30 40.7  -50 18 33     13.0      1.70 0.9
1357        03 33 17.1  -13 39 52     11.5      3.20 2.4
1358        03 33 39.7  -05 05 20     12.1      2.10 1.4
1359        03 33 47.8  -19 29 27     12.2      2.50 1.5
1361        03 34 17.7  -06 15 52     13.9      1.60 1.2
1362        03 33 53.0  -20 16 56     12.8      1.20 1.1
1363        03 34 49.5  -09 50 32     13.1      0.90 0.7
1364        03 34 59.0  -09 50 20     14.7      0.50 0.5
1365        03 33 36.7  -36 08 27      9.6      11.00 6.2
1366        03 33 53.6  -31 11 36     11.1      2.10 0.9
1367        03 35 01.2  -24 56 00     10.7      5.60 3.9
1368        03 34 58.8  -15 39 20     14.2      1.30 0.6
1369        03 36 45.2  -36 15 20     12.8      1.50 1.4
1370        03 35 14.4  -20 22 24     12.6      1.50 1.0
1371        03 35 01.2  -24 56 00     10.7      5.60 3.9
1372        03 36 59.7  -15 52 54     14.3      0.60 0.6
1373        03 34 59.1  -35 10 16     13.3      1.20 0.9
1374        03 35 16.6  -35 13 33     11.1      2.70 2.4
1375        03 35 16.8  -35 15 57     12.4      2.30 0.9
1376        03 37 06.0  -05 02 34     12.1      2.10 1.9
1377        03 36 39.0  -20 54 05     12.5      1.80 0.9
1379        03 36 03.8  -35 26 27     10.9      2.40 2.3
1380        03 36 27.5  -34 58 31      9.9      4.00 2.4
1380A       03 36 47.4  -34 44 23     12.4      2.40 0.7
1380B       03 37 09.0  -35 11 44     12.9      1.50 1.3
1381        03 36 31.8  -35 17 43     11.5      2.60 0.8
1382        03 37 09.0  -35 11 44     12.9      1.50 1.3
1383        03 37 39.2  -18 20 22     12.5      1.90 0.8
1384        03 39 13.5  +15 49 10     14.5      0.90 0.5
1385        03 37 28.6  -24 30 10     10.9      3.60 2.2
1386        03 36 46.3  -35 59 56     11.2      3.40 1.3
1387        03 36 57.2  -35 30 21     10.7      2.80 2.6
1388        03 38 12.0  -15 53 58     13.8      0.70 0.7
1389        03 37 11.7  -35 44 44     11.5      2.30 1.2
1390        03 37 52.2  -19 00 27     13.7      1.40 0.6
1391        03 38 52.9  -18 21 16     13.4      1.20 0.5
1393        03 38 38.4  -18 25 43     12.0      1.70 1.3
1394        03 39 06.7  -18 17 32     12.8      1.30 0.4
1395        03 38 29.6  -23 01 38      9.6      5.00 4.5
1396        03 38 06.5  -35 26 23     13.8      0.70 0.4
1397        03 39 47.1  -04 40 11     13.7      1.70 1.2
1398        03 38 52.0  -26 20 14      9.7      7.20 5.2
1399        03 38 28.9  -35 26 59      9.6      6.90 6.5
1400        03 39 30.7  -18 41 17     11.0      2.50 2.1
1401        03 39 21.8  -22 43 28     12.3      2.40 0.6
1402        03 39 30.4  -18 31 37     13.6      0.80 0.6
1403        03 39 10.8  -22 23 20     12.7      0.90 0.7
1404        03 38 51.7  -35 35 34     10.0      3.30 3.0
1405        03 40 19.0  -15 31 51     14.1      1.50 0.5
1406        03 39 23.0  -31 19 20     11.8      3.90 0.7
1407        03 40 11.8  -18 34 49      9.7      4.60 4.3
1409        03 41 10.4  -01 18 07     13.8      1.00 0.8
1410        03 41 10.8  -01 17 55     14.0      0.70 0.6
1411        03 38 44.9  -44 06 02     11.3      1.80 1.4
1412        03 40 29.3  -26 51 43     12.5      1.80 0.7
1413        03 40 11.5  -15 36 37     14.3      1.00 0.8
1414        03 40 57.0  -21 42 48     14.0      1.50 0.3
1415        03 40 56.9  -22 33 51     11.9      3.60 1.7
1416        03 41 02.8  -22 43 09     12.9      1.20 1.2
1417        03 41 57.2  -04 42 19     12.1      2.30 1.2
1418        03 42 16.2  -04 43 54     13.6      1.00 0.6
1419        03 40 42.0  -37 30 40     12.6      0.90 0.9
1421        03 42 29.4  -13 29 16     11.4      3.40 0.8
1422        03 41 31.3  -21 40 51     13.2      2.30 0.6
1423        03 42 40.1  -06 22 54     14.1      0.90 0.6
1424        03 43 14.0  -04 43 49     13.8      1.60 0.6
1425        03 42 11.5  -29 53 39     10.6      5.80 2.5
1426        03 42 49.3  -22 06 28     11.4      2.60 1.6
1427        03 42 19.2  -35 23 34     10.9      3.80 2.6
1427A       03 40 09.2  -35 37 24     12.8      2.30 1.5
1428        03 42 22.9  -35 09 14     12.9      1.10 0.6
1431        03 44 40.7  +02 50 08     14.1      1.00 0.8
1433        03 42 01.2  -47 13 19      9.9      6.50 5.9
1434        03 46 12.8  -09 40 59     14.3      0.80 0.5
1436        03 43 37.1  -35 51 15     11.7      3.10 2.0
1437        03 43 37.1  -35 51 15     11.7      3.10 2.0
1437A       03 43 02.1  -36 16 23     13.4      1.80 1.5
1437B       03 45 54.6  -36 21 31     13.1      2.60 0.8
1438        03 45 17.1  -23 00 08     12.4      2.00 0.9
1439        03 44 49.8  -21 55 13     11.4      2.40 2.2
1440        03 45 02.9  -18 15 59     11.6      2.20 1.6
1441        03 45 43.0  -04 05 30     12.9      1.70 0.7
1442        03 45 02.9  -18 15 59     11.6      2.20 1.6
1445        03 44 56.2  -09 51 21     14.0      0.90 0.5
1447        03 45 47.1  -09 01 06     14.7      1.00 0.5
1448        03 44 31.3  -44 38 45     10.7      7.60 1.7
1449        03 46 03.0  -04 08 17     13.4      0.80 0.5
1450-1      03 45 36.5  -09 14 05     14.1      0.80 0.6
1450-2      03 45 36.2  -09 13 58     15.0      0.20 0.2
1451        03 46 07.1  -04 04 09     13.4      0.80 0.5
1452        03 45 22.3  -18 37 59     11.8      2.80 1.5
1453        03 46 27.2  -03 58 08     11.5      2.40 1.9
1455        03 45 22.3  -18 37 59     11.8      2.80 1.5
1457        03 44 31.3  -44 38 45     10.7      7.60 1.7
1458        03 45 02.9  -18 15 59     11.6      2.20 1.6
1459        03 46 57.9  -25 31 17     12.9      1.70 1.1
1460        03 46 13.6  -36 41 48     12.6      1.40 1.0
1461        03 48 27.1  -16 23 34     11.8      3.00 0.9
1462        03 50 23.4  +06 58 23     14.4      0.90 0.5
1463        03 46 15.5  -59 48 37     13.5      1.30 1.2
1464        03 51 24.4  -15 24 08     13.8      0.80 0.6
1465        03 53 31.9  +32 29 34     13.7      1.70 0.5
1467        03 51 52.7  -08 50 16     14.1      1.10 0.7
1468        03 52 12.5  -06 20 55     14.2      1.20 0.8
1469        04 00 27.8  +68 34 39     12.7      1.90 0.8
1470        03 52 09.8  -09 00 00     13.7      1.30 0.3
1471        03 51 24.4  -15 24 08     13.8      0.80 0.6
1472        03 53 47.3  -08 34 05     14.4      0.70 0.6
1473        03 47 26.2  -68 13 14     12.9      1.50 0.8
1474        03 54 30.3  +10 42 25     13.8      1.10 1.0
1475        03 53 49.8  -08 08 15     15.4      0.60 0.6
1476        03 52 08.6  -44 31 56     13.3      1.40 0.6
1477        03 54 02.8  -08 34 28     14.2      0.60 0.5
1478        03 54 07.3  -08 33 18     14.8      0.60 0.3
1481        03 54 28.9  -20 25 36     13.8      1.00 0.7
1482        03 54 38.9  -20 30 07     12.2      2.40 1.4
1483        03 52 47.7  -47 28 42     12.7      1.60 1.4
1484        03 54 17.4  -36 58 15     13.1      2.50 0.6
1485        04 05 03.4  +70 59 48     12.6      2.10 0.7
1486        03 56 18.8  -21 49 15     14.2      0.90 0.5
1487        03 55 45.0  -42 22 04     11.6      2.40 1.7
1489        03 57 38.1  -19 13 02     13.8      1.40 0.6
1490        03 53 34.1  -66 01 05     12.4      1.30 1.1
1492        03 58 13.1  -35 26 45     13.5      0.90 0.7
1493        03 57 27.5  -46 12 42     11.3      2.80 2.8
1494        03 57 42.5  -48 54 34     11.7      3.30 2.0
1495        03 58 21.4  -44 27 57     12.6      3.00 0.5
1497        04 02 06.8  +23 08 00     13.1      1.50 0.7
1500        03 58 14.0  -52 19 42     13.8      1.10 0.9
1503        03 56 33.3  -66 02 26     13.6      0.90 0.7
1504        04 02 29.6  -09 20 06     14.4      0.70 0.5
1505        04 02 36.3  -09 19 19     13.7      0.90 0.7
1506        04 00 21.6  -52 34 24     13.4      1.20 0.9
1507        04 04 27.2  -02 11 19     12.3      3.60 1.0
1508        04 05 47.6  +25 24 33     14.5      0.70 0.6
1509        04 03 55.1  -11 10 43     13.7      0.90 0.7
1510        04 03 32.5  -43 23 59     13.0      3.20 1.8
1511        03 59 36.8  -67 38 05     11.3      3.50 1.3
1511A       04 00 19.5  -67 48 26     13.4      1.80 0.4
1511B       04 00 54.5  -67 36 43     14.5      1.80 0.3
1512        04 03 54.0  -43 20 56     10.3      8.90 5.6
1515        04 04 02.1  -54 06 00     11.2      5.40 1.3
1515A       04 03 50.0  -54 06 47     14.6      1.00 0.8
1516A       04 08 07.5  -08 49 46     14.6      1.40 0.9
1516B       04 08 08.2  -08 50 05     13.8      0.90 0.7
1517        04 09 11.9  +08 38 56     13.4      1.10 1.0
1518        04 06 49.0  -21 10 46     11.8      2.90 1.4
1519        04 08 07.2  -17 11 34     12.9      2.10 0.6
1521        04 08 18.7  -21 03 06     11.4      2.70 1.6
1522        04 06 07.6  -52 40 10     13.6      1.20 0.8
1524        04 08 07.5  -08 49 46     14.6      1.40 0.9
1525        04 08 08.2  -08 50 05     13.8      0.90 0.7
1526        04 05 12.3  -65 50 24     13.7      0.80 0.6
1527        04 08 24.1  -47 53 48     10.8      3.90 1.5
1529        04 07 19.9  -62 53 58     13.3      1.20 0.3
1530        04 23 26.9  +75 17 40     11.5      4.40 2.5
1531        04 11 59.1  -32 51 03     11.9      1.20 0.9
1532        04 12 03.8  -32 52 23      9.9      11.60 3.4
1533        04 09 51.9  -56 07 04     10.7      2.80 2.3
1534        04 08 46.2  -62 47 50     12.7      1.70 0.8
1536        04 11 00.2  -56 28 57     12.5      2.10 1.5
1537        04 13 40.7  -31 38 44     10.6      3.90 2.6
1538        04 14 56.0  -13 11 29     15.1      0.60 0.5
1539-1      04 19 01.9  +26 49 39     14.8      0.50 0.5
1539-2      04 19 02.7  +26 49 46     16.6      0.30 0.3
1540        04 15 10.5  -28 28 58     13.9      1.10 0.7
1540A       04 15 10.2  -28 28 46     13.7      0.80 0.5
1541        04 17 00.2  +00 50 07     13.6      1.30 0.5
1542        04 17 14.1  +04 46 55     13.9      1.30 0.5
1543        04 12 43.1  -57 44 14     10.5      3.80 2.8
1544        05 02 36.2  +86 13 22     13.3      1.30 0.9
1546        04 14 36.7  -56 03 37     10.9      3.20 1.9
1547        04 17 12.3  -17 51 27     13.4      1.30 0.6
1549        04 15 45.0  -55 35 29      9.8      4.90 4.1
1550        04 19 38.1  +02 24 34     12.0      2.20 1.9
1551        04 19 38.1  +02 24 34     12.0      2.20 1.9
1552        04 20 17.6  -00 41 33     12.9      1.80 1.2
1553        04 16 10.6  -55 46 46      9.4      4.50 2.8
1556        04 17 44.7  -50 09 51     13.1      1.70 0.5
1558        04 20 15.7  -45 01 52     12.4      2.50 1.0
1559        04 17 36.7  -62 47 02     10.7      3.50 2.0
1560        04 32 47.5  +71 52 46     11.4      9.80 1.5
1561        04 23 01.0  -15 50 43     13.8      1.10 0.8
1562        04 21 47.6  -15 45 19     14.3      0.60 0.6
1563        04 22 53.9  -15 43 58     15.0      0.70 0.3
1564        04 23 00.9  -15 44 20     14.6      0.70 0.5
1565        04 23 23.6  -15 44 41     14.0      0.90 0.8
1566        04 20 00.5  -54 56 14      9.7      8.20 6.5
1567        04 21 08.7  -48 15 17     11.5      1.30 1.3
1568A       04 24 20.6  -00 44 17     14.0      0.50 0.4
1568B       04 24 25.3  -00 44 46     15.1      1.10 0.8
1569        04 30 49.1  +64 50 53     11.0      3.70 1.8
1570        04 22 08.9  -43 37 48     12.3      1.50 1.2
1571        04 22 08.9  -43 37 48     12.3      1.50 1.2
1572        04 22 42.7  -40 36 04     12.4      2.40 1.2
1573        04 35 04.2  +73 15 47     11.7      1.90 1.3
1573A       04 48 26.7  +73 28 10     14.0      1.60 1.3
1574        04 21 58.6  -56 58 28     10.4      4.00 3.6
1575        04 26 20.5  -10 05 56     12.6      1.50 1.3
1576        04 26 18.7  -03 37 15     13.3      1.10 0.7
1577        04 26 20.5  -10 05 56     12.6      1.50 1.3
1578        04 23 46.7  -51 35 58     13.1      1.20 1.1
1580        04 28 18.4  -05 10 45     13.5      0.90 0.8
1581        04 24 44.9  -54 56 32     12.9      1.80 0.7
1583        04 28 20.7  -17 35 46     13.7      0.70 0.7
1584        04 28 10.2  -17 31 26     14.0      0.60 0.6
1585        04 27 33.0  -42 09 54     13.5      1.20 0.7
1586        04 30 38.2  -00 18 19     13.2      1.70 0.9
1587        04 30 40.0  +00 39 45     11.7      1.70 1.4
1588        04 30 43.7  +00 39 55     12.9      1.10 0.6
1589        04 30 45.4  +00 51 48     11.8      3.20 1.0
1590        04 31 10.2  +07 37 51     13.7      0.90 0.7
1591        04 29 30.7  -26 42 46     12.9      1.20 0.8
1592        04 29 40.7  -27 24 29     13.6      1.70 1.0
1593        04 32 06.1  +00 34 04     13.4      1.60 0.6
1594        04 30 51.5  -05 47 52     13.0      1.80 1.3
1595        04 28 21.6  -47 48 55     12.7      1.30 0.9
1596        04 27 38.0  -55 01 35     11.2      3.70 0.9
1597        04 31 13.4  -11 17 24     13.9      0.90 0.7
1598        04 28 33.4  -47 46 57     13.3      1.40 0.8
1599        04 31 38.8  -04 35 19     13.7      0.90 0.8
1600        04 31 39.9  -05 05 14     10.9      2.50 1.7
1601        04 31 41.7  -05 03 35     13.8      0.60 0.3
1602        04 27 54.4  -55 03 24     13.0      1.90 1.1
1603        04 31 49.9  -05 05 38     13.8      0.80 0.5
1604        04 31 58.5  -05 22 10     13.7      1.00 0.7
1606        04 32 03.3  -05 01 55     14.9      0.50 0.5
1607        04 32 03.1  -04 27 38     13.2      1.00 0.4
1608        04 32 06.1  +00 34 04     13.4      1.60 0.6
1609        04 32 45.0  -04 22 19     13.5      1.10 0.7
1611        04 33 05.8  -04 17 49     13.4      2.00 0.6
1612        04 33 13.1  -04 10 19     13.4      1.30 1.0
1613        04 33 25.3  -04 15 54     13.7      1.00 0.8
1614        04 33 59.8  -08 34 45     12.9      1.30 0.9
1615        04 36 01.9  +19 57 03     13.9      1.20 0.8
1616        04 32 41.9  -43 42 54     12.6      1.80 0.9
1617        04 31 39.5  -54 36 07     10.4      4.30 2.1
1618        04 36 06.6  -03 08 55     12.7      2.40 0.8
1620        04 36 37.2  -00 08 39     12.3      2.90 1.0
1621        04 36 25.0  -04 59 12     13.6      1.40 0.8
1622        04 36 36.6  -03 11 18     12.5      3.70 0.7
1623        04 35 32.2  -13 33 23     15.6      0.80 0.5
1625        04 37 06.3  -03 18 14     12.3      2.10 0.5
1626        04 36 25.0  -04 59 12     13.6      1.40 0.8
1627        04 37 37.9  -04 53 17     12.8      1.60 1.5
1628        04 37 36.1  -04 42 57     13.4      1.90 0.4
1630-1      04 37 15.4  -18 54 07     14.0      0.70 0.5
1630-2      04 37 14.2  -18 54 22     16.7      0.20 0.1
1631        04 38 24.1  -20 39 01     13.3      1.50 0.9
1632        04 39 58.5  -09 27 21     14.4      1.00 0.6
1633        04 40 09.1  +07 20 59     13.5      1.00 0.9
1634        04 40 09.8  +07 20 20     14.1      0.40 0.3
1635        04 40 07.9  -00 32 50     12.4      1.40 1.3
1636        04 40 40.2  -08 36 28     13.0      1.20 0.9
1637        04 41 28.2  -02 51 28     10.8      3.30 2.7
1638        04 41 36.4  -01 48 30     12.0      1.80 1.2
1640        04 42 14.5  -20 26 05     11.7      2.70 2.3
1642        04 42 54.9  +00 37 08     12.6      1.70 1.2
1643        04 43 43.9  -05 19 08     13.3      1.20 1.1
1645        04 44 06.3  -05 27 54     13.0      2.10 0.9
1646-1      04 44 23.5  -08 31 53     12.4      2.20 1.3
1646-2      04 44 23.8  -08 32 06     15.0      0.30 0.3
1646-3      04 44 26.2  -08 32 07     15.8      0.40 0.2
1648        04 44 34.7  -08 28 42     14.6      0.60 0.5
1650        04 45 11.4  -15 52 12     12.7      2.30 1.3
1653        04 45 47.5  -02 23 34     12.0      1.50 1.5
1654        04 45 48.4  -02 05 00     13.4      0.80 0.8
1656        04 45 53.3  -05 08 11     12.9      1.50 1.0
1657        04 46 07.3  -02 04 37     13.8      1.20 0.8
1658        04 44 01.1  -41 27 49     13.5      1.50 0.5
1659        04 46 30.0  -04 47 19     12.5      1.50 1.1
1660        04 44 11.1  -41 29 52     14.0      1.00 0.5
1661        04 47 07.7  -02 03 18     13.2      1.40 0.9
1665        04 48 17.0  -05 25 38     12.8      1.80 1.1
1666        04 48 32.8  -06 34 10     12.6      1.40 1.1
1667        04 48 37.0  -06 19 13     12.1      1.40 1.0
1668        04 46 05.9  -44 43 58     12.8      1.60 0.9
1669        04 43 00.0  -65 48 51     13.8      0.80 0.4
1670        04 49 42.6  -02 45 36     12.8      1.30 0.7
1671        04 49 33.8  +00 15 12     12.9      0.90 0.6
1672        04 45 42.8  -59 14 52      9.7      6.70 5.6
1677        04 46 30.0  -04 47 19     12.5      1.50 1.1
1678        04 51 35.4  -02 37 22     13.2      1.10 0.8
1679        04 49 55.5  -31 58 02     11.6      2.70 2.0
1680        04 48 33.7  -47 49 00     13.6      1.20 0.5
1681        04 51 50.1  -05 48 11     12.9      1.30 1.2
1682        04 52 19.7  -03 06 19     13.5      0.90 0.9
1683        04 52 17.5  -03 01 27     14.7      1.00 0.4
1684        04 52 31.1  -03 06 20     12.0      2.20 1.7
1685        04 52 34.2  -02 56 59     14.1      1.30 0.9
1686        04 52 54.7  -15 20 47     13.7      1.70 0.3
1687        04 51 21.1  -33 56 21     13.9      1.30 0.5
1688        04 48 23.5  -59 48 00     12.1      2.40 1.9
1689        04 48 37.0  -06 19 13     12.1      1.40 1.0
1690        04 54 19.3  +01 38 26     14.3      1.00 1.0
1691        04 54 38.3  +03 16 04     12.0      2.30 1.8
1692        04 55 23.7  -20 34 16     13.0      1.30 1.2
1694        04 55 16.8  -04 39 08     14.3      1.20 0.7
1699        04 56 59.5  -04 45 26     13.9      0.90 0.5
1700        04 56 56.2  -04 51 55     11.2      3.30 2.1
1701        04 55 51.1  -29 53 01     12.8      1.20 0.9
1703        04 52 51.9  -59 44 34     11.3      2.90 2.6
1705        04 54 13.9  -53 21 38     12.4      1.90 1.4
1706        04 52 31.1  -62 59 10     12.6      1.40 1.0
1709        04 58 44.0  -00 28 40     14.2      0.90 0.7
1710        04 57 16.8  -15 17 20     12.7      1.30 1.0
1713        04 58 54.7  -00 29 19     12.7      1.40 1.2
1716        04 58 13.2  -20 21 48     13.1      1.40 1.2
1719        04 59 34.5  -00 15 38     13.6      1.10 0.3
1720        04 59 20.5  -07 51 33     12.4      2.00 1.2
1721        04 59 17.4  -11 07 06     12.8      1.90 1.0
1723        04 59 25.9  -10 58 50     11.7      2.60 1.8
1725        04 59 22.9  -11 07 55     12.8      1.20 1.0
1726        04 59 41.9  -07 45 18     11.7      1.70 1.4
1728        04 59 27.8  -11 07 24     13.9      2.00 0.7
1729        05 00 15.6  -03 21 11     12.9      1.70 1.4
1730        04 59 31.7  -15 49 24     12.3      2.30 1.0
1738        05 01 46.5  -18 09 27     12.9      1.30 0.7
1739        05 01 47.3  -18 10 02     13.5      1.40 0.8
1740        05 01 54.7  -03 17 45     12.9      1.50 1.2
1741A       05 01 38.7  -04 15 32     15.0      0.90 0.3
1741B       05 01 35.4  -04 15 48     14.6      0.90 0.5
1744        04 59 57.6  -26 01 22     11.1      7.40 3.5
1752        05 02 09.6  -08 14 27     12.4      2.60 0.8
1753        05 02 32.2  -03 20 41     14.5      1.40 0.6
1759        05 00 49.0  -38 40 25     12.8      1.20 1.2
1762        05 03 37.0  +01 34 24     12.6      1.70 1.1
1765        04 58 24.3  -62 01 40     13.0      1.20 1.0
1771        04 58 55.6  -63 17 54     13.4      1.80 0.5
1779        05 05 18.0  -09 08 52     12.1      2.50 1.4
1780        05 06 20.7  -19 28 01     13.7      0.90 0.5
1781        05 07 55.1  -18 11 24     12.6      1.30 1.1
1784        05 05 27.1  -11 52 16     11.7      4.10 2.6
1792        05 05 13.8  -37 58 47     10.2      5.20 2.6
1794        05 07 55.1  -18 11 24     12.6      1.30 1.1
1796        05 02 42.8  -61 08 23     12.3      1.80 1.0
1796A       05 05 03.3  -61 29 02     14.1      1.70 0.5
1796B       05 07 53.7  -61 11 26     15.0      1.10 0.3
1796B       05 07 55.8  -61 11 37     15.7      0.60 0.2
1797        05 07 44.9  -08 01 08     13.5      1.60 1.0
1799        05 07 44.5  -07 58 08     13.7      1.10 0.6
1800        05 06 25.4  -31 57 16     12.6      2.00 1.1
1803        05 05 26.5  -49 34 03     12.9      1.30 0.8
1808        05 07 42.5  -37 30 48      9.9      6.50 3.9
1809        05 02 05.3  -69 34 06     12.1      3.20 0.8
1811        05 08 42.5  -29 16 35     13.6      1.70 0.4
1812        05 08 52.8  -29 15 06     12.6      1.20 0.9
1819        05 11 46.0  +05 12 03     12.5      1.30 1.0
1821        05 11 46.0  -15 08 04     13.3      1.20 0.8
1824        05 06 56.0  -59 43 31     12.6      3.20 0.8
1827        05 10 04.4  -36 57 37     12.6      3.00 0.7
1832        05 12 03.0  -15 41 20     11.3      2.60 1.7
1843        05 14 06.1  -10 37 36     12.7      2.10 1.7
1853        05 12 16.0  -57 23 58     13.0      2.00 0.7
1875        05 21 45.7  +06 41 20     13.7      0.80 0.7
1879        05 19 48.1  -32 08 33     12.8      2.50 1.7
1886        05 21 48.2  -23 48 36     12.7      3.10 0.4
1888        05 22 34.4  -11 30 01     11.9      3.00 0.8
1889        05 22 35.3  -11 29 49     13.1      0.60 0.4
1892        05 17 09.5  -64 57 37     12.2      2.90 0.8
1906        05 24 47.1  -15 56 34     13.6      0.90 0.5
1924        05 28 01.9  -05 18 37     12.5      1.60 1.2
1930        05 25 56.6  -46 43 42     12.4      1.90 1.2
1947        05 26 47.3  -63 45 39     10.7      3.00 2.6
1954        05 32 48.3  -14 03 44     11.8      4.20 2.0
1956        05 19 35.6  -77 43 47     13.1      1.90 0.8
1957        05 32 55.1  -14 07 57     13.9      1.10 0.8
1961        05 42 03.9  +69 22 43     11.0      4.50 3.1
1964        05 33 21.8  -21 56 43     10.8      5.60 1.8
1979        05 34 01.1  -23 18 37     11.9      1.80 1.8
1989        05 34 23.4  -30 48 02     12.9      1.40 1.1
1992        05 34 31.8  -30 53 49     13.5      1.10 0.7
1993        05 35 25.4  -17 48 54     12.4      1.50 1.4
1998        05 33 15.7  -48 41 43     14.2      0.90 0.5
2007        05 34 58.9  -50 55 18     13.4      1.70 0.6
2008        05 35 03.8  -50 57 58     13.2      1.40 0.7
2012        05 22 35.1  -79 51 07     12.9      1.10 0.6
2049        05 43 15.1  -30 04 41     12.7      2.00 1.0
2073        05 45 53.8  -21 59 57     12.5      1.50 1.4
2076        05 46 47.4  -16 46 58     13.0      2.20 1.3
2082        05 41 50.9  -64 18 05     12.1      1.30 1.2
2087        05 44 16.1  -55 31 59     13.6      0.80 0.6
2089        05 47 51.3  -17 36 10     12.0      1.90 1.2
2090        05 47 01.6  -34 15 03     11.2      4.90 2.4
2101        05 46 22.4  -52 05 24     13.3      2.00 1.3
2104        05 47 04.2  -51 33 11     12.7      2.00 0.9
2106        05 50 46.3  -21 34 01     12.1      2.70 1.4
2110        05 52 11.2  -07 27 23     12.5      1.70 1.2
2115A       05 51 19.8  -50 35 00     13.0      0.80 0.7
2115B       05 51 21.3  -50 35 32     15.1      0.60 0.5
2119        05 57 26.9  +11 56 56     14.0      1.20 1.0
2124        05 57 52.3  -20 05 06     12.2      2.70 0.9
2128        06 04 34.0  +57 37 39     12.6      1.50 1.1
2131        05 58 47.2  -26 39 11     14.0      1.10 0.5
2139        06 01 08.0  -23 40 22     11.6      2.40 1.9
2144        05 40 56.3  -82 07 08     13.0      1.40 1.1
2146        06 18 38.3  +78 21 21     10.6      5.40 2.9
2146A       06 23 54.6  +78 31 48     12.9      3.00 1.2
2148        05 58 45.6  -59 07 35     13.6      1.10 0.8
2150        05 55 46.4  -69 33 39     13.0      1.20 0.9
2152        06 00 55.0  -50 44 27     13.5      1.10 0.8
2178        06 02 47.5  -63 45 50     12.9      0.90 0.9
2179        06 08 02.1  -21 44 46     12.3      1.10 0.9
2187        06 03 52.4  -69 34 40     12.2      1.30 0.9
2187A       06 03 44.2  -69 35 17     12.0      1.70 0.9
2188        06 10 09.7  -34 06 18     11.7      4.20 1.1
2191        06 08 23.7  -52 30 44     11.4      1.70 0.9
2196        06 12 09.6  -21 48 22     11.0      2.80 2.2
2199        06 04 44.9  -73 24 00     12.8      2.00 0.8
2200        06 13 17.4  -43 39 47     14.0      0.90 0.6
2201        06 13 31.4  -43 42 18     13.3      1.10 0.5
2205        06 10 32.8  -62 32 19     12.7      1.40 0.9
2206        06 15 59.7  -26 45 55     12.2      2.40 1.3
2207        06 16 21.8  -21 22 22     10.9      3.90 2.2
2208        06 22 34.6  +51 54 36     12.8      1.60 1.1
2211        06 18 30.2  -18 32 16     12.7      1.40 0.7
2212        06 18 35.7  -18 31 12     13.4      1.50 0.8
2216        06 21 30.7  -22 05 14     12.8      1.40 1.1
2217        06 21 39.8  -27 14 03     10.7      4.70 4.3
2221        06 20 15.8  -57 34 43     13.2      2.00 0.5
2222        06 20 16.8  -57 32 00     13.3      1.20 0.3
2223        06 24 35.8  -22 50 19     11.5      3.00 2.6
2227        06 25 57.9  -22 00 17     12.5      2.10 1.2
2228        06 21 15.9  -64 27 33     13.3      0.80 0.7
2229        06 21 23.8  -64 57 24     13.2      1.50 0.4
2230        06 21 27.9  -64 59 34     12.8      1.20 0.9
2233        06 21 40.1  -65 02 00     13.7      0.90 0.2
2235        06 22 22.2  -64 56 05     12.7      1.40 1.0
2255        06 33 58.6  -34 48 42     13.5      1.50 0.7
2256        06 47 14.2  +74 14 13     12.5      2.30 2.0
2258        06 47 46.5  +74 28 53     11.9      2.30 1.5
2263        06 38 28.8  -24 50 55     11.9      2.60 2.0
2267        06 40 51.7  -32 28 56     12.5      1.70 1.3
2268        07 14 17.5  +84 22 56     11.5      2.70 1.5
2271        06 42 52.9  -23 28 33     12.1      2.10 1.4
2272        06 42 41.2  -27 27 35     11.5      2.40 1.6
2273        06 50 08.4  +60 50 45     11.7      3.60 2.0
2273A       06 40 07.0  +60 04 50     12.6      2.70 2.2
2273B       06 46 31.5  +60 20 25     12.5      2.70 1.2
2274        06 47 17.4  +33 34 03     12.1      1.20 1.1
2275        06 47 17.9  +33 35 57     13.2      1.30 0.9
2276        07 27 13.6  +85 45 18     11.4      2.30 1.9
2280        06 44 48.9  -27 38 20     10.3      6.30 3.0
2283        06 45 52.6  -18 12 37     11.5      3.60 2.7
2288        06 50 51.9  +33 27 45     14.4      0.40 0.2
2289        06 50 53.5  +33 28 44     13.1      1.10 0.6
2290        06 50 56.9  +33 26 15     13.2      1.20 0.7
2291        06 50 58.6  +33 31 30     13.2      1.00 0.8
2292        06 47 39.4  -26 44 47     11.0      4.00 3.5
2293        06 47 42.8  -26 45 17     11.2      4.00 3.2
2294        06 51 11.3  +33 31 38     13.8      0.80 0.4
2295        06 47 23.2  -26 44 10     12.5      2.10 0.6
