  NI AC RH   RM   RS   V   DG  DM  DS  BMAG   X     Y       TYPE
IC4212     13   12  2.8 -     6  59  37  14.5  3.10   2.4    SBc
IC2560     10   16 18.6 -    33  33  48  12.5  3.10   2.0    SBb
IC4785     18   52 55.2 -    59  15  18  13.0  3.10   1.4    SBb
IC467       7   30 17.8 +    79  52  21  13.2  3.10   1.2    SBc
IC1970      3   36 31.2 -    43  57  24  12.8  3.10   0.6     Sb
IC5171     22   10 56.6 -    46   4  55  13.4  3.10   0.5    SBbc
IC3608     12   38 37.4 +    10  28  33  14.6  3.10   0.4     Sb
IC1751      1   56 20.9 +     5  37  43  12.2  3.00   2.9     E0
IC2166      6   26 55.8 +    59   4  47  13.2  3.00   2.1    SBbc
IC4949     20    7 19.4 -    48  22  10  12.1  3.00   2.0    E-S0
IC1954      3   31 31.1 -    51  54  15  12.2  3.00   1.5    SBb
IC4386     14   15  2.3 -    43  57  41  13.1  3.00   1.5    SBd
IC2554     10    8 50.5 -    67   1  54  12.5  3.00   1.2    SBbc
IC2163      6   16 28.0 -    21  22  35  12.4  3.00   1.2    SBc
IC65       1    0 55.3 +    47  40  54  13.5  3.00   0.9    SBbc
IC2995     12    5 47.0 -    27  56  30  12.9  3.00   0.8    SBc
IC4635     17   15 40.4 -    77  29  21  14.8  3.00   0.7    SBb
IC2513      9   50  0.6 -    32  53   2  13.3  3.00   0.6    Sab
IC2514      9   50  0.6 -    32  53   2  13.3  3.00   0.6    Sab
IC5244     22   44 13.5 -    64   2  35  13.4  3.00   0.4     Sb
IC1862      2   51 58.8 -    33  20  24  14.1  3.00   0.3    Sbc
