 NI AC  RH    RM    RS    V     DG    DM    DS   BMAG     X      Y      TYPE
3077      10     3  20.3  +       68    44     6   10.6   5.20    4.7    Sd
3945      11    53  13.4  +       60    40    31   11.8   5.20    3.5   SB0
7410      22    55   0.6  -       39    39    44   11.2   5.20    1.6   SBa
4217      12    15  50.6  +       47     5    24   12.0   5.20    1.5    Sb
5965      15    34   2.0  +       56    41     8   12.6   5.20    0.7    Sb
289        0    52  42.1  -       31    12    20   11.7   5.10    3.6   SBbc
3263      10    29  13.3  -       44     7    22   12.5   5.10    1.4   SBc
3175      10    14  42.3  -       28    52    16   12.1   5.10    1.3   SBab
210        0    40  34.8  -       13    52    21   11.6   5.00    3.3   SBb
4654      12    43  56.5  +       13     7    35   11.1   5.00    3.1   SBcd
7582      23    18  23.5  -       42    22    11   11.4   5.00    2.3   SBab
5253      13    39  55.8  -       31    38    30   10.9   5.00    1.9   S/P
3917      11    50  45.6  +       51    49    29   12.5   5.00    1.1    Sc
4173      12    12  21.5  +       29    12    26   13.6   5.00    0.7   Scd
1549       4    15  45.0  -       55    35    29   10.7   4.90    4.1    E0
2090       5    47   1.6  -       34    15     3   12.0   4.90    2.4    Sc
3733      11    35   1.7  +       54    51     1   12.9   4.90    2.2   SBc
2427       7    36  27.9  -       47    38     9   12.3   4.90    2.0   SBdm
4845      12    58   0.9  +        1    34    32   12.1   4.90    1.3   Sab
5921      15    21  56.3  +        5     4    13   11.5   4.80    4.0   SBbc
4494      12    31  24.1  +       25    46    31   10.7   4.80    3.5    E1
1340       3    28  19.5  -       31     4     5   11.3   4.80    3.1    E5
1344       3    28  19.5  -       31     4     5   11.3   4.80    3.1    E5
3166      10    13  45.5  +        3    25    33   11.3   4.80    2.3  SB0-a
1325       3    24  25.5  -       21    32    35   12.2   4.80    1.6   SBbc
2715       9     8   5.9  +       78     5     9   11.8   4.80    1.6   SBc
5474      14     5   1.4  +       53    39    46   11.3   4.70    4.7    Sc
2217       6    21  39.8  -       27    14     3   11.7   4.70    4.3  SB0-a
