NGC3642, 170.5729, 59.0750, 11.2, 5.5
NGC3646, 170.4300, 20.1692, 11.1, 3.9
NGC3666, 171.1092, 11.3422, 12.3, 4.4
NGC3672, 171.2596, -8.2053, 11.4, 4.0
NGC3675, 171.5337, 43.5864, 10.2, 5.9
NGC3686, 171.9337, 17.2233, 11.3, 3.1
NGC3705, 172.5317, 9.2761, 11.1, 4.9
NGC3718, 173.1446, 53.0672, 10.8, 8.1
NGC3726, 173.3367, 47.0278, 10.4, 6.0
NGC3756, 174.1992, 54.2942, 11.5, 4.2
NGC3810, 175.2442, 11.4703, 10.8, 4.3
NGC3877, 176.5304, 47.4944, 11.0, 5.3
NGC3887, 176.7692, -15.1461, 10.6, 3.5
NGC3893, 177.1592, 48.7114, 10.5, 4.5
NGC3898, 177.3137, 56.0847, 10.7, 4.4
NGC3906, 177.4175, 48.4256, 12.9, 1.8
NGC3923, 177.7567, -27.1942, 9.8, 5.9
NGC3938, 178.2050, 44.1214, 10.4, 5.4
NGC3949, 178.4225, 47.8600, 11.1, 2.9
NGC3953, 178.4517, 52.3250, 10.1, 6.9
NGC3957, 178.5062, -18.4311, 11.8, 2.9
NGC3982, 179.1167, 55.1250, 11.0, 2.3
NGC4013, 179.6304, 43.9472, 11.2, 5.2
NGC4027, 179.8771, -18.7342, 11.1, 3.3
NGC4036, 180.3625, 61.8961, 10.7, 4.3
NGC4038, 180.4700, -17.1356, 10.3, 3.4
NGC4039, 180.4742, -17.1144, 10.3, 3.3
NGC4051, 180.7900, 44.5319, 10.2, 5.2
NGC4085, 181.3433, 50.3533, 12.4, 2.8
NGC4096, 181.5037, 47.4758, 10.9, 6.5
NGC4111, 181.7621, 43.0667, 10.7, 4.6
NGC4124, 182.0396, 10.3789, 11.4, 4.3
NGC4151, 182.6346, 39.4067, 10.8, 6.3
NGC4157, 182.7683, 50.4847, 11.4, 6.7
NGC4178, 183.1925, 10.8642, 11.4, 5.0
NGC4214, 183.9117, 36.3275, 9.8, 8.0
NGC4216, 183.9750, 13.1478, 10.0, 8.1
NGC4235, 184.2904, 7.1908, 11.6, 4.2
NGC4236, 184.1804, 69.4636, 9.6, 21.9
NGC4242, 184.3750, 45.6192, 10.8, 5.2
NGC4244, 184.3746, 37.8078, 10.4, 16.6
NGC4261, 184.8462, 5.8244, 10.4, 4.1
NGC4274, 184.9617, 29.6136, 10.4, 6.8
NGC4293, 185.3037, 18.3828, 10.4, 5.6
NGC4371, 186.2308, 11.7042, 10.8, 4.0
NGC4395, 186.4533, 33.5467, 10.2, 13.2
NGC4414, 186.6129, 31.2236, 10.1, 4.4
NGC4429, 186.8596, 11.1075, 10.0, 5.8
NGC4442, 187.0163, 9.8039, 10.4, 4.5
NGC4449, 187.0471, 44.0950, 9.6, 6.2
NGC4450, 187.1221, 17.0842, 10.1, 5.4
NGC4469, 187.3671, 8.7503, 11.2, 3.8
NGC4477, 187.5083, 13.6369, 10.4, 3.7
NGC4487, 187.7679, -7.9464, 11.0, 4.0
NGC4490, 187.6504, 41.6428, 9.8, 6.4
NGC4496, 187.9138, 3.9397, 11.4, 3.9
